ES_number,Study,mod1,mod2,mod3,mod4,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
1,Abadia et al. (2019),Grades 9-12,Virtual Reality,Not reported,History,84,1.7,22,94,0.74,27
2,Barnidge et al. (2021),University,Traditional Training,Slightly modified,Science,4.13,0.42,46,4.16,0.44,46
3,Calvert & Abadia (2020),Grades 9-12,Virtual Reality,Not reported,History,8.31,1.66,22,9.07,0.76,27
4,Chang et al. (2019),University,Traditional Video,Not reported,Healthcare,81.12,5.23,32,79.94,5.46,32
5,Chen et al. (2022),Grades 4-6,Traditional Video,Not reported,History,83.067,3.542,30,81.638,3.386,29
